name,type,position_x,position_y,position_z,size_x,size_y,size_z,color
POS-0002-886-CBD-67031,circle,0.65487,0.830001,0.110286,0.01,0,0,#ff0000
POS-0203-886-CBD-67033,circle,0.648764,0.824229,0.100655,0.01,0,0,#ff0000
POS-0203-886-CBD-67033,circle,0.648764,0.824229,0.100655,0.01,0,0,#ff0000
POS-0202-886-CBD-67033,circle,0.6485,0.823,0.102144,0.01,0,0,#ff0000
POS-0205-886-CBD-67033,circle,0.652398,0.824229,0.100655,0.01,0,0,#ff0000
POS-0205-886-CBD-67033,circle,0.652398,0.824229,0.100655,0.01,0,0,#ff0000
POS-0206-886-CBD-67033,circle,0.649692,0.824229,0.100655,0.01,0,0,#ff0000
POS-0206-886-CBD-67033,circle,0.649692,0.824229,0.100655,0.01,0,0,#ff0000
POS-0133-886-CBD-67033,circle,0.65047,0.815,0.110693,0.01,0,0,#ff0000
POS-0132-886-CBD-67033,circle,0.65047,0.811072,0.109797,0.01,0,0,#ff0000
POS-0131-886-CBD-67033,circle,0.65047,0.812272,0.109797,0.01,0,0,#ff0000
POS-0013-886-CBD-67035,circle,0.64527,0.814093,0.101092,0.01,0,0,#ff0000
POS-0013-886-CBD-67035,circle,0.64527,0.814093,0.101092,0.01,0,0,#ff0000
POS-0013-886-CBD-67035,circle,0.64527,0.814093,0.101092,0.01,0,0,#ff0000
POS-0012-886-CBD-67035,circle,0.643712,0.815822,0.101058,0.01,0,0,#ff0000
POS-0012-886-CBD-67035,circle,0.643712,0.815822,0.101058,0.01,0,0,#ff0000
POS-0012-886-CBD-67035,circle,0.643712,0.815822,0.101058,0.01,0,0,#ff0000
POS-0114-886-CBD-67036,circle,0.64178,0.82095,0.101025,0.01,0,0,#ff0000
POS-0114-886-CBD-67036,circle,0.64178,0.82095,0.101025,0.01,0,0,#ff0000
POS-0114-886-CBD-67036,circle,0.64178,0.82095,0.101025,0.01,0,0,#ff0000
POS-0101-886-CBD-67037,circle,0.640715,0.8225,0.102744,0.01,0,0,#ff0000
